section_code,section_number,title,description,category,punishment,source
BNS-1,1,"Short title, commencement and application","Section 1: Short title, commencement and application",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=1&orderno=
BNSS-1,1,"Short title, extent and commencement","Section 1: Short title, extent and commencement",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=1&orderno=
EVIDENCE-1,1,"Short title, application and commencement","Section 1: Short title, application and commencement",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=1&orderno=
BNS-10,10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which","Section 10: Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=10&orderno=
BNSS-10,10,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc","Section 10: Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=10&orderno=
EVIDENCE-10,10,Facts tending to enable Court to determine amount are relevant in suits for damages,Section 10: Facts tending to enable Court to determine amount are relevant in suits for damages,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=10&orderno=
BNS-100,100,Culpable homicide,Section 100: Culpable homicide,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=100&orderno=
BNSS-100,100,Search for persons wrongfully confined,Section 100: Search for persons wrongfully confined,General Exceptions,Imprisonment and/or Fine (as per statute),https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=100&orderno=
BNS-101,101,Murder,Section 101: Murder,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=101&orderno=
BNSS-101,101,Power to compel restoration of abducted females,Section 101: Power to compel restoration of abducted females,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=101&orderno=
